dataset,mechanism,pattern,missing_rate,method,n_reps,rmse_mean,rmse_median,rmse_std,rmse_ci_low,rmse_ci_high,mae_mean,mae_median,mae_std,mae_ci_low,mae_ci_high,wall_time_sec_mean,wall_time_sec_median,wall_time_sec_std,wall_time_sec_ci_low,wall_time_sec_ci_high,vbpca_mean_variance_mean,rmse_ci,mae_ci,time_ci
diabetes,MCAR,random,0.3,mean_pca,20,0.8670104991651202,0.8702550902161557,0.026912484379097,0.8209263202477648,0.9193454461746124,0.6890395517233106,0.6861467988298374,0.0188981974240876,0.6568873160934826,0.7232758515814329,0.0014151856001262,0.0013737339995713,0.0002328540747309,0.0012747471502734,0.001957983349348,,"[0.8209, 0.9193]","[0.6569, 0.7233]","[0.0013, 0.0020]"
diabetes,MCAR,random,0.3,mice_pca,20,0.8402588809852667,0.8331615402981841,0.0353877805374995,0.7893195154069531,0.909880350308263,0.6098467692981699,0.6098610363418566,0.0166850144235625,0.5787240230428138,0.6393831301268885,0.4432633269505459,0.4491875485018681,0.0610898870399247,0.3483300521011188,0.5304002488494917,,"[0.7893, 0.9099]","[0.5787, 0.6394]","[0.3483, 0.5304]"
diabetes,MCAR,random,0.3,vbpca_vb_modern,20,0.802859295225072,0.8028725267102288,0.0235033738668663,0.7560517686932653,0.8415275461769007,0.621160089664769,0.6223715383814183,0.0147441247725218,0.5883047622013146,0.6389430985809282,17.00165445639941,17.52665429949957,3.0020940735558748,13.465294254998208,20.076020856623654,0.1876334804453382,"[0.7561, 0.8415]","[0.5883, 0.6389]","[13.4653, 20.0760]"
diabetes,MCAR,random,0.5,mean_pca,20,0.9066661246291317,0.9032929445869756,0.0192058461080632,0.8745166979787018,0.9382763542420404,0.7296391397551187,0.7285262977266571,0.0152402329356958,0.7044568252433433,0.7528085573755151,0.0014113221506704,0.0014222589998098,6.235759984630281e-05,0.0012856023018684,0.0015050096756567,,"[0.8745, 0.9383]","[0.7045, 0.7528]","[0.0013, 0.0015]"
diabetes,MCAR,random,0.5,mice_pca,20,0.8816537757351943,0.8781863211306458,0.0222379960069652,0.849736802798839,0.918824980604974,0.674621733678829,0.673303734316367,0.012952957869714,0.6535898696425808,0.6954449799953052,0.1191552397500345,0.0646945980006421,0.1152750762127463,0.0404356705508689,0.3839016989491027,,"[0.8497, 0.9188]","[0.6536, 0.6954]","[0.0404, 0.3839]"
diabetes,MCAR,random,0.5,vbpca_vb_modern,20,0.843725556747802,0.841996645152143,0.0172546845602601,0.8105745532813016,0.8723666869430391,0.6615099501214321,0.6635154649041237,0.0140012161815069,0.636115611470959,0.6827833554359983,13.379933191149576,13.77997681349916,2.4489511411676053,10.56627987539814,15.920394838374795,0.261655049166594,"[0.8106, 0.8724]","[0.6361, 0.6828]","[10.5663, 15.9204]"
synthetic,MAR,block,0.1,mean_pca,20,0.6902046028783559,0.6860176056591234,0.0463916792900861,0.6072431476369327,0.7624346819123209,0.5413119138366717,0.5395166609872937,0.0358048568426151,0.476534260750346,0.5975600568714847,0.0026417114993818,0.00264419099949,0.0001113293819484,0.0024634379992675,0.002820906998022,,"[0.6072, 0.7624]","[0.4765, 0.5976]","[0.0025, 0.0028]"
synthetic,MAR,block,0.1,mice_pca,20,0.4742411363220634,0.4856764003655104,0.0471639063701891,0.3882672390393872,0.5426180065184366,0.3515022214214333,0.3633700676820507,0.0333256909770097,0.2908502871296459,0.3942960004802465,0.1165907093503846,0.1224804885005141,0.0112696470105412,0.0912722757519076,0.1302417350769246,,"[0.3883, 0.5426]","[0.2909, 0.3943]","[0.0913, 0.1302]"
synthetic,MAR,block,0.1,vbpca_vb_modern,20,0.5666740941246897,0.5755270247212085,0.0625542130669288,0.4531015736905355,0.6634947428895683,0.4267592550945968,0.4339090659556628,0.0472273497990937,0.3424639833967353,0.4937014836849895,199.00162117110068,224.01289804250152,30.809426790055223,155.96000878782652,227.5747580924505,0.0305314780612606,"[0.4531, 0.6635]","[0.3425, 0.4937]","[155.9600, 227.5748]"
synthetic,MAR,block,0.3,mean_pca,20,4.025287758479775,3.972376147840924,0.4632626929889629,3.319291974777129,4.802621794187911,3.1589816187267927,3.1584752281000883,0.4020037758265354,2.541739490886203,3.8554800999406127,0.0025233696998838,0.00252889749936,8.672161966589485e-05,0.0023646897243451,0.0026538758995229,,"[3.3193, 4.8026]","[2.5417, 3.8555]","[0.0024, 0.0027]"
synthetic,MAR,block,0.3,mice_pca,20,4.025287758479775,3.972376147840924,0.4632626929889629,3.319291974777129,4.802621794187911,3.1589816187267927,3.1584752281000883,0.4020037758265354,2.541739490886203,3.8554800999406127,0.0160131484508382,0.0160623490010038,0.0005864290902012,0.0148581046521939,0.0168896265249713,,"[3.3193, 4.8026]","[2.5417, 3.8555]","[0.0149, 0.0169]"
synthetic,MAR,block,0.3,vbpca_vb_modern,20,4.025287758479775,3.972376147840924,0.4632626929889628,3.319291974777129,4.802621794187911,3.1589816187267927,3.1584752281000883,0.4020037758265354,2.541739490886203,3.8554800999406127,171.0628077931504,191.1346484825008,25.91534672721167,132.92662919452587,194.46699216642503,75.3315118768028,"[3.3193, 4.8026]","[2.5417, 3.8555]","[132.9266, 194.4670]"
synthetic,MAR,block,0.5,mean_pca,20,3.92364534449636,3.9158604001110087,0.3895738531578571,3.169990342875664,4.506397232095678,3.0508759561900733,3.0377088651801403,0.2737280049103109,2.5258121620679144,3.4777700290543896,0.0025529475999064,0.0025542775001667,7.952604898375557e-05,0.0024224401749961,0.0027098918490082,,"[3.1700, 4.5064]","[2.5258, 3.4778]","[0.0024, 0.0027]"
synthetic,MAR,block,0.5,mice_pca,20,3.92364534449636,3.9158604001110087,0.3895738531578571,3.169990342875664,4.506397232095678,3.0508759561900733,3.0377088651801403,0.2737280049103109,2.5258121620679144,3.4777700290543896,0.0160053149500526,0.01621782949951,0.0006024478460719,0.0148688781766394,0.0168611377248452,,"[3.1700, 4.5064]","[2.5258, 3.4778]","[0.0149, 0.0169]"
synthetic,MAR,block,0.5,vbpca_vb_modern,20,3.92364534449636,3.9158604001110087,0.3895738531578571,3.169990342875664,4.506397232095678,3.0508759561900733,3.0377088651801403,0.2737280049103109,2.5258121620679144,3.4777700290543896,168.09979572645005,191.6136612620012,28.324432074566914,132.67278550237444,195.44101511597495,75.61733866512701,"[3.1700, 4.5064]","[2.5258, 3.4778]","[132.6728, 195.4410]"
