dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,trace_k,rms_mean,rms_ci_low,rms_ci_high
synthetic,MAR,block,0.5,5,1000x50,3,0.6703324235854764,0.6367779906327684,0.7056215114584405
synthetic,MAR,block,0.5,5,1000x50,4,0.5629628583345921,0.5283563954696698,0.6046085598967864
synthetic,MAR,block,0.5,5,1000x50,5,0.45219173695308346,0.4159067705409242,0.4922701227355614
synthetic,MAR,block,0.5,5,1000x50,6,0.3438788866704024,0.3108909958577621,0.38299485054111204
synthetic,MAR,block,0.5,5,1000x50,7,0.22587822587973255,0.18779104048889747,0.25989498508925374
synthetic,MAR,block,0.5,5,1000x50,8,0.05520838660306397,0.05084711040314654,0.059145861557963364
synthetic,MAR,block,0.5,5,1000x50,9,0.05312598110746579,0.04897338654032954,0.05726783639705546
synthetic,MAR,block,0.5,5,1000x50,10,0.05108374352291003,0.047520099528457496,0.05527517728489162
synthetic,MAR,block,0.5,5,1000x50,11,0.0493765416118703,0.046189880430661856,0.053277920314472864
synthetic,MAR,block,0.5,5,1000x50,12,0.047965316009104156,0.044900896518390326,0.051685125931490904
synthetic,MAR,block,0.5,5,1000x50,13,0.04684483621856507,0.04386769204103847,0.05041340278230312
synthetic,MAR,block,0.5,5,1000x50,14,0.04572944925034638,0.04290756522626893,0.04923530956381318
synthetic,MAR,block,0.5,5,1000x50,15,0.044715798607279526,0.04204879675291162,0.048122603409599216
synthetic,MAR,block,0.5,5,1000x50,16,0.04381642216813895,0.04112989968639003,0.04708575121822602
synthetic,MAR,block,0.5,5,1000x50,17,0.04290481726650129,0.040087563746595084,0.046009026246051424
synthetic,MAR,block,0.5,5,1000x50,18,0.04212275702954676,0.03928377720061469,0.04500875894525039
synthetic,MAR,block,0.5,5,1000x50,19,0.04155340504621617,0.038818306873659364,0.04411212742860957
synthetic,MAR,block,0.5,5,1000x50,20,0.04133702129569349,0.038866150889798494,0.04375637924614754
synthetic,MAR,block,0.5,5,1000x50,21,0.04124990179193338,0.03860650634650276,0.04346384381013524
synthetic,MAR,block,0.5,5,1000x50,22,0.041231109684625615,0.038625997809181856,0.04427333525704155
synthetic,MAR,block,0.5,5,1000x50,23,0.040078778994411,0.03834838012226883,0.042463527822986194
synthetic,MAR,block,0.5,5,1000x50,24,0.039792780036019104,0.039519825642924306,0.040065734429113896
synthetic,MAR,random,0.1,5,1000x50,1,0.8880469498683746,0.8694553694891334,0.8996276933904414
synthetic,MAR,random,0.1,5,1000x50,2,0.7831314409152329,0.7659000950477887,0.7974973635134627
synthetic,MAR,random,0.1,5,1000x50,3,0.6816605867287371,0.6600421507289078,0.694939635821865
synthetic,MAR,random,0.1,5,1000x50,4,0.579798719005271,0.5566530964064611,0.6007171085067011
synthetic,MAR,random,0.1,5,1000x50,5,0.4759755929266474,0.44160407163366305,0.5021300790082287
synthetic,MAR,random,0.1,5,1000x50,6,0.36277392827025196,0.33368125140158006,0.39091845453185137
synthetic,MAR,random,0.1,5,1000x50,7,0.23784072308877047,0.20812806747641663,0.2603052340648664
synthetic,MAR,random,0.1,5,1000x50,8,0.05448747333204388,0.05052735929575368,0.05894700537179429
synthetic,MAR,random,0.1,5,1000x50,9,0.05262887112861784,0.04909185469703393,0.0560176545399255
synthetic,MAR,random,0.1,5,1000x50,10,0.05121382972489421,0.04804786128825683,0.05463434522793656
synthetic,MAR,random,0.1,5,1000x50,11,0.04998101258175594,0.04704668120090386,0.0533091280911997
synthetic,MAR,random,0.1,5,1000x50,12,0.04885982950333103,0.046157200657437454,0.05206992262451817
synthetic,MAR,random,0.1,5,1000x50,13,0.047841963744677536,0.045334996065405635,0.05091546954124186
