dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate,delta_ci
diabetes,MCAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-18.79502498599995,-19.36649238100108,3.336257466392744,-22.22085188452465,-14.934917208773186,1.0,0.0,"[-22.2209, -14.9349]"
diabetes,MCAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-18.79260835665009,-19.36394810099955,3.336210170959295,-22.21832917729789,-14.932649662650327,1.0,0.0,"[-22.2183, -14.9326]"
diabetes,MCAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.0662491220230299,0.0641578562636505,0.0149106036631881,0.0405689366465752,0.0930048266589899,0.0,1.0,"[0.0406, 0.0930]"
diabetes,MCAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.0591381154414479,-0.0599005720866827,0.015468324623794,-0.0836150286638877,-0.0297264913296449,1.0,0.0,"[-0.0836, -0.0297]"
diabetes,MCAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,20,0.061086403951624,0.06264063382692,0.0214717647510896,0.0221854255428664,0.0977218082917341,0.0,1.0,"[0.0222, 0.0977]"
diabetes,MCAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,20,-0.035381823680764,-0.0348723558491397,0.0145703676013984,-0.0605851898366601,-0.0132928803167699,1.0,0.0,"[-0.0606, -0.0133]"
diabetes,MCAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,20,-21.389943139050047,-24.0023782474982,3.390001511618211,-24.2118944071507,-16.555443168101192,1.0,0.0,"[-24.2119, -16.5554]"
diabetes,MCAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,20,-21.069857543950093,-23.62451769400104,3.379186161544914,-23.96794800847483,-16.279130064198945,1.0,0.0,"[-23.9679, -16.2791]"
diabetes,MCAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,20,0.0678794620585414,0.0668683182205707,0.0116758081968768,0.0516434063176981,0.0919234275759417,0.0,1.0,"[0.0516, 0.0919]"
diabetes,MCAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,20,-0.011313320366599,-0.0124545995135987,0.0146600674681197,-0.0386455390207071,0.016708151864846,0.85,0.15,"[-0.0386, 0.0167]"
