dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,method,n_reps,rmse_mean,rmse_median,rmse_std,rmse_ci_low,rmse_ci_high,mae_mean,mae_median,mae_std,mae_ci_low,mae_ci_high,wall_time_sec_mean,wall_time_sec_median,wall_time_sec_std,wall_time_sec_ci_low,wall_time_sec_ci_high,vbpca_mean_variance_mean,vbpca_mean_variance_median,vbpca_mean_variance_std,vbpca_mean_variance_ci_low,vbpca_mean_variance_ci_high
synthetic,MAR,random,0.5,5,1000x50,mean_pca,200,0.7390268882045403,0.7382412270083846,0.01138236610922701,0.7184352766476086,0.7635058158819055,0.5768264641312635,0.5758302467276697,0.008641201859660856,0.560158467000883,0.5962215545732271,0.0036090576501009723,0.0036031620002177,0.00010951299036648574,0.003408356723230052,0.003816674225708968,,,,,
synthetic,MAR,random,0.5,5,1000x50,mice_pca,200,0.4359117058613706,0.4378232589865966,0.01737576717369963,0.3959342462979424,0.4718218247692056,0.3189415563412478,0.32017609328751706,0.01333284486839462,0.29309550258689987,0.34542313974183225,0.6461571669097611,0.6356526820018189,0.08838454120877855,0.5178881297801127,0.8404551458534117,,,,,
synthetic,MAR,random,0.5,5,1000x50,vbpca_vb_modern,200,0.48338897625510546,0.48489789851450227,0.024912379190012768,0.42776197638847224,0.5313945210072327,0.3531266520891847,0.3546413613574147,0.019085455710282487,0.31390530293981644,0.3894754446214968,138.49271941771988,155.88988814500044,22.48784780674524,106.8561826605268,163.84953591430423,0.05253491137858026,0.05272901051519785,0.0045955809155647735,0.04284118311166492,0.060798062499669916
synthetic,MCAR,block,0.1,5,1000x50,mean_pca,200,0.6013689150401859,0.6035382612941547,0.03482931425032375,0.5409386955345682,0.6664282058031956,0.4720339919206608,0.4737563472576011,0.026105935374337103,0.4267846758323731,0.521696194710648,0.002856741349878525,0.0028933134999533,0.00014035053347702077,0.0025972488489968927,0.0030895652472281527,,,,,
synthetic,MCAR,block,0.1,5,1000x50,mice_pca,200,0.3712458710407254,0.3687478095180375,0.04632971193497459,0.2888327737892839,0.45915994071066385,0.27016251312026623,0.2691475310463911,0.03465773333159484,0.2066315945542494,0.33829213763215876,0.21192102557022735,0.2090790490019571,0.11063357597608665,0.10724578139925138,0.378839448326562,,,,,
synthetic,MCAR,block,0.1,5,1000x50,vbpca_vb_modern,200,0.4496071670918088,0.4493741709853572,0.05421050038265663,0.3522707195940401,0.5486510946249602,0.32978941508843607,0.3299706049895972,0.04158842460254976,0.2570618726735328,0.40351888754653614,240.07743221020988,265.8161974700015,37.36844929419401,184.68325068862268,281.03625276932263,0.022052878686103866,0.02199453959104855,0.0022233379991678922,0.018297665047434734,0.026956557490928235
synthetic,MCAR,block,0.3,5,1000x50,mean_pca,200,4.021207456882336,3.936313543696733,0.5343139868160873,3.1947227660943267,5.287179542207165,3.1312081646093635,3.090359278946488,0.393866823158976,2.468544192200273,3.9597695203284693,0.0027375789600045607,0.00277322849979095,0.00013390041148785345,0.0024690399518476273,0.0029353847005949476,,,,,
synthetic,MCAR,block,0.3,5,1000x50,mice_pca,200,4.021207456882336,3.936313543696733,0.5343139868160873,3.1947227660943267,5.287179542207165,3.1312081646093635,3.090359278946488,0.393866823158976,2.468544192200273,3.9597695203284693,0.0161576743750265,0.016376997999032,0.0007942630709860413,0.014728177997858428,0.017545381525542303,,,,,
synthetic,MCAR,block,0.3,5,1000x50,vbpca_vb_modern,200,4.021207456882336,3.936313543696733,0.5343139868160873,3.1947227660943267,5.287179542207165,3.1312081646093635,3.090359278946488,0.393866823158976,2.4685441922002727,3.9597695203284693,204.03619642044495,229.02501507200031,33.00146666347103,158.0153817412278,240.04512883060005,87.54203920788248,82.23873783875202,21.934768307849343,80.71064172730786,164.4838852431045
synthetic,MCAR,block,0.5,5,1000x50,mean_pca,200,3.9803060782238595,3.9461597498667964,0.47854353828884066,3.196355372719351,5.1318024067216985,3.1122493909162166,3.094085429223491,0.3649941885577827,2.4903617205713107,3.946740231803828,0.002748166800338317,0.0027756540002883,0.00011810168020081482,0.0024881516266758927,0.0029291841048688177,,,,,
synthetic,MCAR,block,0.5,5,1000x50,mice_pca,200,3.9803060782238595,3.9461597498667964,0.47854353828884066,3.196355372719351,5.1318024067216985,3.1122493909162166,3.094085429223491,0.3649941885577827,2.4903617205713107,3.946740231803828,0.01624444830496936,0.016418152499682002,0.0008805263136907247,0.014813063574729233,0.017354741127019183,,,,,
synthetic,MCAR,block,0.5,5,1000x50,vbpca_vb_modern,200,3.9803092735612338,3.9461597498667964,0.4785398962100456,3.196355372719351,5.1318024067216985,3.1122528424567237,3.094085429223491,0.36499023089769145,2.4903617205713107,3.946740231803828,204.10780515402513,225.87723034749797,31.70302684212128,157.54421486672473,240.49110151545028,83.87981293843691,82.2141806617935,12.043242165417844,80.57919273959904,83.66075062878505
synthetic,MCAR,random,0.1,5,1000x50,mean_pca,200,0.46894730723247535,0.4703846299976374,0.01885292049737487,0.42946449448685176,0.511781826133562,0.35648823088940246,0.35766120484400643,0.014288530494880413,0.3280462093324921,0.38241111073545514,0.0029438450649467486,0.0028647854978771,0.00034703945543641227,0.00259445895089806,0.003716285423524733,,,,,
synthetic,MCAR,random,0.1,5,1000x50,mice_pca,200,0.37428867694923407,0.37592262896573114,0.02002605631232794,0.330462435663811,0.41600090941279283,0.2696405196796486,0.27071122423945526,0.015316638189038147,0.23577266818630774,0.3005020080742286,0.7947601166648747,0.7762175145016954,0.11829219948388224,0.6244478981523571,1.090857447101007,,,,,
synthetic,MCAR,random,0.1,5,1000x50,vbpca_vb_modern,200,0.4231928998348792,0.4248441502446936,0.0224455034287882,0.3726213140429581,0.470824382635892,0.3071577879390658,0.30801724123280755,0.01769725929808803,0.2685633127342954,0.34337574824262446,260.4241096847699,261.8505839829995,15.812824375440165,230.90397862654945,288.6736992361758,0.022252163928229183,0.022231115741345002,0.002161071671347428,0.01757763762163486,0.02648336848358311
synthetic,MCAR,random,0.3,5,1000x50,mean_pca,200,0.5651957358586783,0.5652060835301821,0.01286606332241971,0.5422670816408832,0.5874808294256247,0.44111057506374196,0.4404563624823903,0.00993484360097348,0.42326465635818145,0.4586596991236807,0.003357529700060643,0.0032965344998956,0.00034416342766674217,0.0030760695252865324,0.004020881101223418,,,,,
synthetic,MCAR,random,0.3,5,1000x50,mice_pca,200,0.3740582060720794,0.3747569045125921,0.018254501487167982,0.33824337363563217,0.4051123710110645,0.2707860683120526,0.27144739893667036,0.014272823260446437,0.24455868674987602,0.29810853158018946,1.1432927187851056,1.0834613600000012,0.2814762614407491,0.8792161537227002,1.4190221815475526,,,,,
synthetic,MCAR,random,0.3,5,1000x50,vbpca_vb_modern,200,0.4333929055854429,0.433582268566985,0.0210950022114924,0.392596349588087,0.47139331639070997,0.3163877496792483,0.31683663276640817,0.016799680626802257,0.28490181160915495,0.34771998214826577,207.470820092195,208.61603859550087,14.74633853555052,178.76338960672365,233.37115352274844,0.029732474675211742,0.029878468766139102,0.002767010994551848,0.024197855178117143,0.03485406838778261
