method,rmse,mae,wall_time_sec,vbpca_mean_variance,mice_converged,mice_n_iter,mice_retry_used,vbpca_selected_k,k_used,dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout,scaling,vbpca_model_selection,use_selected_k_for_all_methods
mean_pca,0.6471239566062319,0.4844458319316938,0.003097076994890813,,,,,23,23,synthetic,MCAR,random,0.1,5,1000x50,15,1068993669,34687563,1251391636,1000,50,5000,zscore_observed_only,True,True
mice_pca,0.07053584027349542,0.05466674734916466,0.6370136420009658,,True,5.0,False,23,23,synthetic,MCAR,random,0.1,5,1000x50,15,1068993669,34687563,1251391636,1000,50,5000,zscore_observed_only,True,True
vbpca_vb_modern,0.06912793625170226,0.05332196439381061,853.8511660420045,0.0010396942540773573,,,,23,23,synthetic,MCAR,random,0.1,5,1000x50,15,1068993669,34687563,1251391636,1000,50,5000,zscore_observed_only,True,True
mean_pca,0.6927886310811561,0.521923123077564,0.003265896004450042,,,,,26,26,synthetic,MCAR,random,0.1,5,1000x50,16,892880451,395862813,777045672,1000,50,5000,zscore_observed_only,True,True
mice_pca,0.06522070060454184,0.05122816332763527,0.8134015649993671,,True,6.0,False,26,26,synthetic,MCAR,random,0.1,5,1000x50,16,892880451,395862813,777045672,1000,50,5000,zscore_observed_only,True,True
vbpca_vb_modern,0.06382397164578318,0.04996773616865467,1198.149721115995,0.0009650324245057033,,,,26,26,synthetic,MCAR,random,0.1,5,1000x50,16,892880451,395862813,777045672,1000,50,5000,zscore_observed_only,True,True
mean_pca,0.6277230889597636,0.4744995534670221,0.00333480099652661,,,,,23,23,synthetic,MCAR,random,0.1,5,1000x50,17,31986589,307974985,1011750904,1000,50,5000,zscore_observed_only,True,True
mice_pca,0.068774446447758,0.05378045479612697,0.903580652004166,,True,6.0,False,23,23,synthetic,MCAR,random,0.1,5,1000x50,17,31986589,307974985,1011750904,1000,50,5000,zscore_observed_only,True,True
vbpca_vb_modern,0.06724794402085262,0.05271067746210465,1195.7488551159986,0.0009591459845784474,,,,23,23,synthetic,MCAR,random,0.1,5,1000x50,17,31986589,307974985,1011750904,1000,50,5000,zscore_observed_only,True,True
mean_pca,0.6691277113247662,0.5018447868957316,0.0037057999943499453,,,,,24,24,synthetic,MCAR,random,0.1,5,1000x50,18,166009390,1563890638,551657761,1000,50,5000,zscore_observed_only,True,True
