dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate
diabetes,MCAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-20.598293030105197,-23.26727561300504,3.5269089164681966,-24.57282345928015,-15.559250712975336,1.0,0.0
diabetes,MCAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.08823051001559447,0.08865785259044112,0.009725099080238444,0.06748471148794763,0.10434739779048813,0.0,1.0
diabetes,MCAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,0.02372667498746649,0.02256803834840443,0.012603241604182715,-0.002075762676606651,0.048600782679939177,0.035,0.965
diabetes,MCAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.08300092853076353,0.0831158356046856,0.012095441913386741,0.057291734771990024,0.10611760551287115,0.0,1.0
diabetes,MCAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,0.04763061523772077,0.044502682751946465,0.018500481855602945,0.01751779927113356,0.09116440737750685,0.0,1.0
diabetes,MCAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-16.516199053345044,-18.750054854499467,2.929111439799792,-19.857318446549293,-12.528736020200993,1.0,0.0
diabetes,MCAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-16.387434040085427,-18.625543559002836,2.9164352111469016,-19.693526512575044,-12.455763762881361,1.0,0.0
synthetic,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.15335778565603067,0.1509080633045972,0.024267853749147084,0.10870573140725062,0.20995076335825885,0.0,1.0
synthetic,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.062169169470236436,-0.058187683128175044,0.021140846498613076,-0.1139744849807686,-0.037102442336540496,1.0,0.0
synthetic,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.16585828711813522,0.1614636444731014,0.030563823016784883,0.11538687634150169,0.23963805828151521,0.0,1.0
synthetic,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.08107235820339223,-0.07598167106218076,0.027263652159414602,-0.1501790950886882,-0.0490639633257771,1.0,0.0
synthetic,MAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-239.75843735835002,-268.3079398259979,37.69717197666517,-282.31273240973206,-183.50661251422662,1.0,0.0
synthetic,MAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-239.64240644152997,-268.18547342799866,37.68943933345287,-282.18865221840224,-183.40363143152408,1.0,0.0
synthetic,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.0,0.0,1.2592259768388487e-16,0.0,4.440892098500626e-16,0.02,0.03
synthetic,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,0.0,0.0,1.2592259768388487e-16,0.0,4.440892098500626e-16,0.02,0.03
synthetic,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,-1.7763568394002505e-17,0.0,1.4657952900424037e-16,-4.440892098500626e-16,0.0,0.03,0.005
synthetic,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-1.7763568394002505e-17,0.0,1.4657952900424037e-16,-4.440892098500626e-16,0.0,0.03,0.005
synthetic,MAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-205.67233253639432,-231.32915187550316,35.78253464870299,-246.33465021479935,-149.52587206042423,1.0,0.0
synthetic,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-205.6587883710148,-231.31540053700155,35.78187941945461,-246.32048946762555,-149.51587797120078,1.0,0.0
synthetic,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,1.7763568394002505e-17,0.0,1.5319145178187042e-16,0.0,4.440892098500626e-16,0.01,0.05
synthetic,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,1.7763568394002505e-17,0.0,1.5319145178187042e-16,0.0,4.440892098500626e-16,0.01,0.05
synthetic,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.0,0.0,1.6657993895739868e-16,0.0,0.0,0.015,0.02
synthetic,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,0.0,0.0,1.6657993895739868e-16,0.0,0.0,0.015,0.02
synthetic,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-205.21718961916974,-230.04359404000206,34.357069448168616,-244.32029058997904,-156.0859171440581,1.0,0.0
synthetic,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-205.2037031039897,-230.0300018980015,34.35644414217237,-244.30658521127643,-156.07358629407753,1.0,0.0
synthetic,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.05624909433231865,0.05652785904039381,0.0057113040837544725,0.044990842397435456,0.06676940208483272,0.0,1.0
synthetic,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.038413760774212345,-0.03829884775821496,0.0027492850715338506,-0.043755740247666035,-0.03334113445909811,1.0,0.0
synthetic,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.05456952556594994,0.05394767672453274,0.006013431298474873,0.0437735086432449,0.06704966609825694,0.0,1.0
synthetic,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.050447295946950244,-0.050532019192073424,0.0034539179376194117,-0.057283323425894754,-0.044115456499481044,1.0,0.0
synthetic,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-239.98109223677014,-269.0569830689965,38.328064835565186,-282.52811682140873,-183.68579783190452,1.0,0.0
synthetic,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-239.14551983093523,-268.3362370354989,38.28012311345046,-281.78411609239373,-183.0325047091002,1.0,0.0
synthetic,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.1444540236136692,0.14373743362027122,0.009111505952532867,0.12837959770201712,0.16202134639301294,0.0,1.0
