dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,method,n_reps,rmse_mean,rmse_median,rmse_std,rmse_ci_low,rmse_ci_high,mae_mean,mae_median,mae_std,mae_ci_low,mae_ci_high,wall_time_sec_mean,wall_time_sec_median,wall_time_sec_std,wall_time_sec_ci_low,wall_time_sec_ci_high,vbpca_mean_variance_mean,vbpca_mean_variance_median,vbpca_mean_variance_std,vbpca_mean_variance_ci_low,vbpca_mean_variance_ci_high
synthetic,MCAR,block,0.3,5,1000x50,mean_pca,20,3.9982962560269257,3.843800708868125,0.5264103068889854,3.2486194057366413,5.061472952376545,3.131001965155579,3.0040983670860077,0.437228411088498,2.4953848113621477,4.0153669745875655,0.00261796335025787,0.0026098284997715,9.547569583924784e-05,0.0024140833250384276,0.0027348566004093025,,,,,
synthetic,MCAR,block,0.3,5,1000x50,mice_pca,20,3.9982962560269257,3.843800708868125,0.5264103068889854,3.2486194057366413,5.061472952376545,3.131001965155579,3.0040983670860077,0.437228411088498,2.4953848113621477,4.0153669745875655,0.016643199700229115,0.01692916899992265,0.0008393057992512895,0.014967989024717044,0.01752227180054425,,,,,
synthetic,MCAR,block,0.3,5,1000x50,vbpca_vb_modern,20,3.9982962560269257,3.843800708868125,0.5264103068889854,3.2486194057366413,5.061472952376545,3.131001965155579,3.0040983670860077,0.4372284110884979,2.4953848113621477,4.015366974587565,174.7199161161002,185.97515748900062,27.36419887154523,133.74505849182606,202.62759461485044,81.86730176197729,69.21723951704301,26.603945067541908,67.44321439921427,134.21542742633682
synthetic,MCAR,block,0.5,5,1000x50,mean_pca,20,3.910294409813601,3.921066136587073,0.4798831508178454,3.098371028686576,4.727693834850435,3.0765305009558266,2.993829460557806,0.436028092526053,2.420408519595656,3.815380131956416,0.0026266268500875797,0.0026004295004895,0.00015119864406343224,0.002398760800315315,0.0029318215250441295,,,,,
synthetic,MCAR,block,0.5,5,1000x50,mice_pca,20,3.910294409813601,3.921066136587073,0.4798831508178454,3.098371028686576,4.727693834850435,3.0765305009558266,2.993829460557806,0.436028092526053,2.420408519595656,3.815380131956416,0.01631142840024036,0.0167224730002999,0.00082235330209136,0.014965707625287825,0.017243629000813582,,,,,
synthetic,MCAR,block,0.5,5,1000x50,vbpca_vb_modern,20,3.910294409813601,3.921066136587073,0.4798831508178454,3.098371028686576,4.727693834850435,3.0765305009558266,2.993829460557806,0.436028092526053,2.420408519595656,3.815380131956416,173.53579987764988,183.83457623900085,27.84783718857902,134.12688865409964,200.70621252187476,68.71873366206019,68.43388543752462,1.1260833590477433,67.12283125859567,70.44945280818428
synthetic,MCAR,random,0.1,5,1000x50,mean_pca,20,0.5559783691186098,0.5588594077477748,0.01904209865509769,0.526692067540238,0.5933762506466517,0.42543566866720084,0.42754637189442185,0.015606142289780345,0.3982797875029384,0.453220159660975,0.0021305470999322547,0.0020758259997819,0.00024068106926361816,0.0018592599253678826,0.0025920426498487223,,,,,
synthetic,MCAR,random,0.1,5,1000x50,mice_pca,20,0.47908491697200095,0.4822772633597443,0.020141857035759474,0.4461439110045018,0.5139629485279549,0.35648507709549204,0.36151701185566215,0.017023207787102996,0.3246399926113058,0.38199476354730716,0.5336129730499124,0.5142496239996035,0.07030252514601412,0.3959008914998776,0.6507188697242781,,,,,
synthetic,MCAR,random,0.1,5,1000x50,vbpca_vb_modern,20,0.5296603410094072,0.5347847155157712,0.021776394355671164,0.4930969786930375,0.5690714388194955,0.3970477660672527,0.40240044245450846,0.01888879871185919,0.36157803706014097,0.4263610679403488,201.95897093669993,217.99771232500007,30.892948887504332,152.97372305742468,234.56468155367475,0.029300896620615795,0.02956050599581685,0.0022403008137268175,0.025539928530646218,0.03285058714120017
synthetic,MCAR,random,0.3,5,1000x50,mean_pca,20,0.6276909829292645,0.6272624435585907,0.015973355401738686,0.5986762442573004,0.6548409268773807,0.49005610063899574,0.4892448050001059,0.012542205793428686,0.4650056853409501,0.5101588057250613,0.0029820209000717603,0.0031101634995138504,0.0003730003500854896,0.0021431820757697524,0.0033696381993194723,,,,,
synthetic,MCAR,random,0.3,5,1000x50,mice_pca,20,0.48266471547132433,0.47984895023857066,0.018799214749316152,0.4543926772047271,0.5152677016227731,0.3601037624352103,0.3570712266940186,0.014073612516076492,0.33529821488569417,0.38308474552855776,1.0047277151499656,0.9981200284992156,0.2002779283434699,0.5983109953251187,1.3148645628504707,,,,,
synthetic,MCAR,random,0.3,5,1000x50,vbpca_vb_modern,20,0.5440691813292365,0.5419377474819371,0.020487132956650063,0.5141340726430871,0.5799472805507208,0.4096440722929843,0.40637631279024145,0.015853582352540165,0.3824392679375252,0.4367216143443326,157.5270915886499,166.15627930000028,25.085162102940483,120.70167185527454,184.9012115009001,0.039383237455648326,0.039328305221826246,0.002609267742526263,0.034710305001126186,0.04366459013671636
synthetic,MCAR,random,0.5,5,1000x50,mean_pca,20,0.7282755432868914,0.7323114528122163,0.014057395375681271,0.7018210587287096,0.750613582087597,0.5742797681215152,0.5774848886099326,0.010961159624104213,0.5537786281315578,0.5896279052357059,0.0035180194998246845,0.0034947449994433,0.00012953048475870002,0.003294988424795465,0.0037627354492997026,,,,,
synthetic,MCAR,random,0.5,5,1000x50,mice_pca,20,0.5006679261964674,0.5010120587022686,0.01670595498346383,0.4672593435162049,0.5268901491692136,0.374915534165541,0.37516345079726227,0.013568885045684776,0.3491557056284452,0.3979812535146679,0.6572835467000914,0.6615506230000392,0.0848084505060807,0.531411081075521,0.7992260216508839,,,,,
