dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout,scaling,vbpca_model_selection,use_selected_k_for_all_methods,trace_k,trace_rms,trace_prms,trace_cost
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,4,0.60041570553915,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,5,0.49725278679509877,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,6,0.39528250119208236,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,7,0.27821430282353876,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,8,0.05125686639274439,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,9,0.04977845375688008,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,10,0.048371130481610826,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,11,0.047000116378330486,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,12,0.04572199182569598,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,13,0.044440710786741056,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,14,0.043341662781368764,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,15,0.042283100798040804,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,16,0.04125388592428654,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,17,0.04017854081009876,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,18,0.039293590992263074,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,19,0.03844932155456299,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,20,0.03763349573240095,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,21,0.03680915220525034,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,22,0.036122854047795354,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,23,0.03552869175716394,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,24,0.035488391327288774,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,25,0.034878971763695206,,
synthetic,MCAR,random,0.1,5,1000x50,3,377755045,746900260,1743959672,1000,50,5000,zscore_observed_only,True,True,26,0.034910033012904663,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,1,0.8859184029399957,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,2,0.775046443252171,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,3,0.6736257837781253,,
synthetic,MCAR,random,0.1,5,1000x50,4,969357255,1982868283,965220468,1000,50,5000,zscore_observed_only,True,True,4,0.5671687361042788,,
