method,rmse,mae,wall_time_sec,vbpca_mean_variance,mice_converged,mice_n_iter,mice_retry_used,dataset,mechanism,pattern,missing_rate,n_components,synthetic_shape,replicate_id,seed_data,seed_mask,seed_method,n_samples,n_features,n_holdout
mean_pca,0.6221185955582452,0.48617484490916735,0.0024732679994485807,,,,,synthetic,MAR,random,0.3,5,1000x50,1,1642746920,1984971981,372871098,1000,50,15000
mice_pca,0.44359807849594285,0.33277080022940564,2.982338299998446,,True,13.0,True,synthetic,MAR,random,0.3,5,1000x50,1,1642746920,1984971981,372871098,1000,50,15000
vbpca_vb_modern,0.5060976386431355,0.3826771375404043,21.740856045000328,0.03598529395757937,,,,synthetic,MAR,random,0.3,5,1000x50,1,1642746920,1984971981,372871098,1000,50,15000
mean_pca,0.6589662957079445,0.5116707279116017,0.0026184489997831406,,,,,synthetic,MAR,random,0.3,5,1000x50,2,1448038571,671608880,944998020,1000,50,15000
mice_pca,0.49308620388498614,0.368510348794874,3.1132499359991925,,True,14.0,True,synthetic,MAR,random,0.3,5,1000x50,2,1448038571,671608880,944998020,1000,50,15000
vbpca_vb_modern,0.5602401502685751,0.4178289894130496,20.110944078998727,0.04213726090918171,,,,synthetic,MAR,random,0.3,5,1000x50,2,1448038571,671608880,944998020,1000,50,15000
mean_pca,0.6359987260848053,0.49771110255331874,0.0024505930014129262,,,,,synthetic,MAR,random,0.3,5,1000x50,3,31083701,1551035837,69904718,1000,50,15000
mice_pca,0.45741093784582126,0.34281230455398015,3.665113831000781,,True,19.0,True,synthetic,MAR,random,0.3,5,1000x50,3,31083701,1551035837,69904718,1000,50,15000
vbpca_vb_modern,0.5213336243211925,0.392948437124352,25.41934795099951,0.03629159009860593,,,,synthetic,MAR,random,0.3,5,1000x50,3,31083701,1551035837,69904718,1000,50,15000
mean_pca,0.7847117185047064,0.6150149771618328,0.002786871998978313,,,,,synthetic,MAR,random,0.5,5,1000x50,0,803059054,1066659082,1436707478,1000,50,25000
mice_pca,0.5393140685221055,0.4098896990092487,0.6653622780013393,,True,6.0,False,synthetic,MAR,random,0.5,5,1000x50,0,803059054,1066659082,1436707478,1000,50,25000
vbpca_vb_modern,0.5895888435133813,0.450217289694864,20.25280432999898,0.0670430520329426,,,,synthetic,MAR,random,0.5,5,1000x50,0,803059054,1066659082,1436707478,1000,50,25000
mean_pca,0.7679883580543445,0.6002527621872416,0.0031296359993575606,,,,,synthetic,MAR,random,0.5,5,1000x50,1,1005693509,1801464637,274212879,1000,50,25000
mice_pca,0.5198187837859838,0.3873575148215543,0.8693463180006802,,True,8.0,False,synthetic,MAR,random,0.5,5,1000x50,1,1005693509,1801464637,274212879,1000,50,25000
vbpca_vb_modern,0.5651289314083768,0.4248374322470336,17.923855483999432,0.06120024246395643,,,,synthetic,MAR,random,0.5,5,1000x50,1,1005693509,1801464637,274212879,1000,50,25000
mean_pca,0.7774673653756854,0.6107729638816572,0.0027451529986137757,,,,,synthetic,MAR,random,0.5,5,1000x50,2,563165443,553111267,815560736,1000,50,25000
mice_pca,0.5392000849615576,0.40522486798226864,0.5176124659992638,,True,5.0,False,synthetic,MAR,random,0.5,5,1000x50,2,563165443,553111267,815560736,1000,50,25000
vbpca_vb_modern,0.5940930007936137,0.44897650228133795,20.542725084000267,0.06972037895216585,,,,synthetic,MAR,random,0.5,5,1000x50,2,563165443,553111267,815560736,1000,50,25000
mean_pca,0.7574327560878623,0.5948697269628184,0.002934476000518771,,,,,synthetic,MAR,random,0.5,5,1000x50,3,6831379,921954850,818336756,1000,50,25000
mice_pca,0.5100425675504016,0.3892008778574204,0.6080904659993394,,True,6.0,False,synthetic,MAR,random,0.5,5,1000x50,3,6831379,921954850,818336756,1000,50,25000
vbpca_vb_modern,0.5572345213822755,0.42591734591871855,22.113105305001227,0.06209722666701349,,,,synthetic,MAR,random,0.5,5,1000x50,3,6831379,921954850,818336756,1000,50,25000
mean_pca,0.7291480836487553,0.5725496038122284,0.0021694070001103682,,,,,synthetic,MAR,block,0.1,5,1000x50,0,1257204109,1236678030,603990709,1000,50,5000
mice_pca,0.5285948231865409,0.403290142824446,0.2102726189987152,,True,8.0,False,synthetic,MAR,block,0.1,5,1000x50,0,1257204109,1236678030,603990709,1000,50,5000
vbpca_vb_modern,0.6257125229751539,0.4791188803457434,28.101481422998404,0.02719630962733538,,,,synthetic,MAR,block,0.1,5,1000x50,0,1257204109,1236678030,603990709,1000,50,5000
mean_pca,0.6701823918358994,0.5299925093300739,0.0021501640003407374,,,,,synthetic,MAR,block,0.1,5,1000x50,1,917617123,1080484779,1793368634,1000,50,5000
mice_pca,0.3731824288963717,0.28231720200097327,1.3142779529989639,,False,36.0,True,synthetic,MAR,block,0.1,5,1000x50,1,917617123,1080484779,1793368634,1000,50,5000
vbpca_vb_modern,0.4627640148677166,0.35438081640884,37.46881907700117,0.03174725626832083,,,,synthetic,MAR,block,0.1,5,1000x50,1,917617123,1080484779,1793368634,1000,50,5000
mean_pca,0.7278334176664446,0.5738716901733095,0.0023766009999235393,,,,,synthetic,MAR,block,0.1,5,1000x50,2,165097156,1323904880,172157002,1000,50,5000
mice_pca,0.5207401397485304,0.39022510123950926,1.3018573179997475,,False,36.0,True,synthetic,MAR,block,0.1,5,1000x50,2,165097156,1323904880,172157002,1000,50,5000
vbpca_vb_modern,0.6151738761396089,0.4797961199128196,37.482033378999404,0.03290226162143301,,,,synthetic,MAR,block,0.1,5,1000x50,2,165097156,1323904880,172157002,1000,50,5000
mean_pca,0.6853448297583757,0.5406759046497744,0.00207761300043785,,,,,synthetic,MAR,block,0.1,5,1000x50,3,571410849,953565535,1741656721,1000,50,5000
mice_pca,0.4739844480081645,0.35449936807612226,0.1590839540003799,,True,6.0,False,synthetic,MAR,block,0.1,5,1000x50,3,571410849,953565535,1741656721,1000,50,5000
vbpca_vb_modern,0.5536601654410483,0.4203804223334422,37.77277651800068,0.02994819034733986,,,,synthetic,MAR,block,0.1,5,1000x50,3,571410849,953565535,1741656721,1000,50,5000
mean_pca,1.369720821367841,1.1112531742956238,0.0020669570003519766,,,,,synthetic,MAR,block,0.3,5,1000x50,0,723223800,1072639628,1243123087,1000,50,11988
mice_pca,1.3697208213678447,1.1112531742956266,0.011996492999969632,,True,1.0,False,synthetic,MAR,block,0.3,5,1000x50,0,723223800,1072639628,1243123087,1000,50,11988
vbpca_vb_modern,1.036277004796082,0.8202496548030439,21.125962896998317,69.92812727902954,,,,synthetic,MAR,block,0.3,5,1000x50,0,723223800,1072639628,1243123087,1000,50,11988
mean_pca,1.7257172169853323,1.4337912611286698,0.002038204000200494,,,,,synthetic,MAR,block,0.3,5,1000x50,1,1629532755,849927323,1215667055,1000,50,11988
mice_pca,1.7257172169853383,1.4337912611286756,0.012062130001140758,,True,1.0,False,synthetic,MAR,block,0.3,5,1000x50,1,1629532755,849927323,1215667055,1000,50,11988
vbpca_vb_modern,1.0226040229119298,0.802467578630365,21.256741551998857,68.57188688414358,,,,synthetic,MAR,block,0.3,5,1000x50,1,1629532755,849927323,1215667055,1000,50,11988
mean_pca,1.425577775187809,1.147153200350936,0.0020915299992338987,,,,,synthetic,MAR,block,0.3,5,1000x50,2,1801403296,939396022,2014090198,1000,50,11988
mice_pca,1.4255777751878074,1.1471532003509342,0.012159194999185274,,True,1.0,False,synthetic,MAR,block,0.3,5,1000x50,2,1801403296,939396022,2014090198,1000,50,11988
vbpca_vb_modern,0.9284058675161552,0.7369860453975081,22.467885423000553,67.58857841090953,,,,synthetic,MAR,block,0.3,5,1000x50,2,1801403296,939396022,2014090198,1000,50,11988
mean_pca,1.462997680149529,1.1618886854190498,0.0019800970003416296,,,,,synthetic,MAR,block,0.3,5,1000x50,3,850735190,929911029,47749916,1000,50,11988
mice_pca,1.4629976801495403,1.161888685419057,0.012157207000200287,,True,1.0,False,synthetic,MAR,block,0.3,5,1000x50,3,850735190,929911029,47749916,1000,50,11988
vbpca_vb_modern,1.1275485443117197,0.8403383062838633,21.565590489999522,67.50993724429478,,,,synthetic,MAR,block,0.3,5,1000x50,3,850735190,929911029,47749916,1000,50,11988
mean_pca,1.6449909262890503,1.311869546875851,0.002103880999129615,,,,,synthetic,MAR,block,0.5,5,1000x50,0,1145088216,1007923142,891377204,1000,50,11988
mice_pca,1.6449909262890452,1.3118695468758474,0.01220149999971909,,True,1.0,False,synthetic,MAR,block,0.5,5,1000x50,0,1145088216,1007923142,891377204,1000,50,11988
vbpca_vb_modern,0.9970835802671002,0.7920151445829563,22.32214188299986,69.12485668884364,,,,synthetic,MAR,block,0.5,5,1000x50,0,1145088216,1007923142,891377204,1000,50,11988
mean_pca,1.3719731799439567,1.0954931522688407,0.0018917540000984445,,,,,synthetic,MAR,block,0.5,5,1000x50,1,1339081471,1176425484,2031763099,1000,50,11988
mice_pca,1.3719731799439507,1.0954931522688363,0.012164453999503166,,True,1.0,False,synthetic,MAR,block,0.5,5,1000x50,1,1339081471,1176425484,2031763099,1000,50,11988
vbpca_vb_modern,1.0106205597200657,0.8065333481348621,21.421996810000564,68.37762222441222,,,,synthetic,MAR,block,0.5,5,1000x50,1,1339081471,1176425484,2031763099,1000,50,11988
mean_pca,1.4568056620926577,1.19320098269302,0.0018460279989085393,,,,,synthetic,MAR,block,0.5,5,1000x50,2,873253819,934855638,1744060416,1000,50,11988
mice_pca,1.4568056620926573,1.1932009826930199,0.011968697999691358,,True,1.0,False,synthetic,MAR,block,0.5,5,1000x50,2,873253819,934855638,1744060416,1000,50,11988
vbpca_vb_modern,0.9803143993167245,0.7821496088305822,21.30659449199993,69.07150108163657,,,,synthetic,MAR,block,0.5,5,1000x50,2,873253819,934855638,1744060416,1000,50,11988
mean_pca,1.6408855769044894,1.3633474993621115,0.002137790001143003,,,,,synthetic,MAR,block,0.5,5,1000x50,3,1042906971,537439779,1114791282,1000,50,11988
mice_pca,1.6408855769044814,1.3633474993621033,0.013287572000990622,,True,1.0,False,synthetic,MAR,block,0.5,5,1000x50,3,1042906971,537439779,1114791282,1000,50,11988
vbpca_vb_modern,1.0160859184763762,0.8036235881385984,32.153425715001504,68.30725671688592,,,,synthetic,MAR,block,0.5,5,1000x50,3,1042906971,537439779,1114791282,1000,50,11988
mean_pca,0.7385639842255032,0.5960292556571339,0.0010269180002069334,,,,,diabetes,MCAR,random,0.1,5,1000x50,0,1088190918,877442447,1140137344,442,10,442
mice_pca,0.7026653409379819,0.5175991024113573,0.3562891040000977,,True,36.0,True,diabetes,MCAR,random,0.1,5,1000x50,0,1088190918,877442447,1140137344,442,10,442
vbpca_vb_modern,0.7176046169173166,0.5589995020590689,2.646094102999996,0.1431722688697761,,,,diabetes,MCAR,random,0.1,5,1000x50,0,1088190918,877442447,1140137344,442,10,442
mean_pca,0.8140381862708261,0.6307905024907378,0.0010223240005871048,,,,,diabetes,MCAR,random,0.1,5,1000x50,1,1242954340,2084823303,151076919,442,10,442
mice_pca,0.7191906090528214,0.5278622324785739,0.3592972970000119,,False,36.0,True,diabetes,MCAR,random,0.1,5,1000x50,1,1242954340,2084823303,151076919,442,10,442
vbpca_vb_modern,0.7575133329587096,0.5756702514828587,2.6730131919994164,0.14043644906883884,,,,diabetes,MCAR,random,0.1,5,1000x50,1,1242954340,2084823303,151076919,442,10,442
mean_pca,0.7732887924525308,0.625292934195697,0.001084488998458255,,,,,diabetes,MCAR,random,0.1,5,1000x50,2,1960719644,1048796290,814917965,442,10,442
mice_pca,0.6480451602401825,0.47006944475515194,0.3598063519984862,,False,36.0,True,diabetes,MCAR,random,0.1,5,1000x50,2,1960719644,1048796290,814917965,442,10,442
