dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,trace_k,rms_mean,rms_ci_low,rms_ci_high
synthetic,MCAR,random,0.3,5,1000x50,2,0.7855590082977745,0.759131220054742,0.8068936947507606
synthetic,MCAR,random,0.3,5,1000x50,3,0.6825204132959237,0.6533962615645706,0.7113005793882718
synthetic,MCAR,random,0.3,5,1000x50,4,0.578584507107131,0.5448630954288521,0.6098514259895882
synthetic,MCAR,random,0.3,5,1000x50,5,0.47326188254931295,0.437360240722844,0.5050562827402951
synthetic,MCAR,random,0.3,5,1000x50,6,0.36294191231917916,0.3259534631217902,0.39491844195790454
synthetic,MCAR,random,0.5,5,1000x50,1,0.8864640423857657,0.8631205448366419,0.9008915280368468
synthetic,MCAR,random,0.5,5,1000x50,2,0.7786048558802541,0.7524020612569607,0.8017330651087549
synthetic,MCAR,random,0.5,5,1000x50,3,0.6733101550564414,0.6425731627265767,0.7002470906590004
synthetic,MCAR,random,0.5,5,1000x50,4,0.5684681661254521,0.5396968561141134,0.5950868262503773
synthetic,MCAR,random,0.5,5,1000x50,5,0.4614804249591024,0.4305509955094039,0.49253112534441895
synthetic,MCAR,random,0.5,5,1000x50,6,0.3512493811046319,0.3141392954406377,0.38295447255617143
wine,MAR,block,0.1,5,1000x50,1,0.8032943836070894,0.7831761052165541,0.8243159029842986
wine,MAR,block,0.1,5,1000x50,2,0.6754082205037959,0.6500379028339895,0.695979407203073
wine,MAR,block,0.1,5,1000x50,3,0.5922853419731596,0.5717621116133439,0.6128497852586268
wine,MAR,block,0.1,5,1000x50,4,0.5329675410336154,0.5079043437216392,0.5576525133516489
wine,MAR,block,0.1,5,1000x50,5,0.4698383502985497,0.4434352231513827,0.4913235290268566
wine,MAR,block,0.1,5,1000x50,6,0.4164764406312592,0.39262167189590425,0.44211238544942083
wine,MAR,block,0.3,5,1000x50,1,0.7975507608690038,0.7533083817433188,0.8453966857978649
wine,MAR,block,0.3,5,1000x50,2,0.66554284995092,0.613748329823432,0.7113262288463984
wine,MAR,block,0.3,5,1000x50,3,0.5810727050462361,0.525082468886314,0.6273896031802288
wine,MAR,block,0.3,5,1000x50,4,0.5139854697894622,0.46023955311453896,0.5694884548587911
wine,MAR,block,0.3,5,1000x50,5,0.4460055789043825,0.39480737044246467,0.5004950805400519
wine,MAR,block,0.3,5,1000x50,6,0.38663810189540376,0.3467574655260826,0.4491193617571435
wine,MAR,block,0.5,5,1000x50,1,0.800249712303807,0.7503630651025314,0.8483824204564858
wine,MAR,block,0.5,5,1000x50,2,0.6678300580713312,0.6138359751800986,0.7150837090629173
wine,MAR,block,0.5,5,1000x50,3,0.5823625440796598,0.5250357061253048,0.6285298137148594
wine,MAR,block,0.5,5,1000x50,4,0.5159228847241059,0.4576228662787878,0.5706292594873863
wine,MAR,block,0.5,5,1000x50,5,0.4477937570209749,0.38775042358678363,0.5040635762170054
wine,MAR,block,0.5,5,1000x50,6,0.3879976523576159,0.3447431305973113,0.4532244627422
wine,MAR,random,0.1,5,1000x50,1,0.8029145021201048,0.7960954985620265,0.8089431155879083
wine,MAR,random,0.1,5,1000x50,2,0.6738724926696493,0.6645948370836908,0.682782294493248
wine,MAR,random,0.1,5,1000x50,3,0.59068883400021,0.5788306872709474,0.6003418336173921
wine,MAR,random,0.1,5,1000x50,4,0.5322894029100615,0.5191034451825065,0.5434212472996549
wine,MAR,random,0.1,5,1000x50,5,0.46933142406575457,0.45631650911618504,0.48103816597159105
wine,MAR,random,0.1,5,1000x50,6,0.417097338745414,0.40303957060900264,0.4319000619034064
wine,MAR,random,0.3,5,1000x50,1,0.8002466683289938,0.7825411585238286,0.8162891803867269
wine,MAR,random,0.3,5,1000x50,2,0.664651365267743,0.6386094487354602,0.685408820905579
wine,MAR,random,0.3,5,1000x50,3,0.5761924717734317,0.5489666758675837,0.6025976843875792
wine,MAR,random,0.3,5,1000x50,4,0.508852212741876,0.4833549164212253,0.535934703842091
wine,MAR,random,0.3,5,1000x50,5,0.44329431684454945,0.4174220807113361,0.46870663190596124
wine,MAR,random,0.3,5,1000x50,6,0.3900120768070221,0.36165076518893163,0.4173443474299059
wine,MAR,random,0.5,5,1000x50,1,0.7969293195767467,0.7697968550374712,0.8232053780331117
wine,MAR,random,0.5,5,1000x50,2,0.6495186290795852,0.6127414402828465,0.6870400153194122
wine,MAR,random,0.5,5,1000x50,3,0.550804787522295,0.5099077062057052,0.5886052860620655
wine,MAR,random,0.5,5,1000x50,4,0.474086707672556,0.4363191881515474,0.5115696191748291
wine,MAR,random,0.5,5,1000x50,5,0.41060425415687773,0.3719091390585208,0.4483030976036047
wine,MAR,random,0.5,5,1000x50,6,0.36844256692732213,0.329268514647869,0.41210111281233425
wine,MCAR,block,0.1,5,1000x50,1,0.8017205021289375,0.7830734934194071,0.8217466790621529
wine,MCAR,block,0.1,5,1000x50,2,0.67373630662102,0.6544274334109151,0.6917337331707568
wine,MCAR,block,0.1,5,1000x50,3,0.5905695609887107,0.5606552537749011,0.6096452648770808
