dataset,mechanism,pattern,missing_rate,n_components_requested,synthetic_shape,comparator,reference,metric,n_reps,delta_mean,delta_median,delta_std,delta_ci_low,delta_ci_high,comparator_win_rate,vbpca_win_rate,delta_ci
synthetic,MAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-205.6587883710148,-231.31540053700155,35.78187941945461,-246.32048946762555,-149.51587797120078,1.0,0.0,"[-246.3205, -149.5159]"
synthetic,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,1.7763568394002505e-17,0.0,1.531914517818704e-16,0.0,4.440892098500626e-16,0.01,0.05,"[0.0000, 0.0000]"
synthetic,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,1.7763568394002505e-17,0.0,1.531914517818704e-16,0.0,4.440892098500626e-16,0.01,0.05,"[0.0000, 0.0000]"
synthetic,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.0,0.0,1.6657993895739868e-16,0.0,0.0,0.015,0.02,"[0.0000, 0.0000]"
synthetic,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,0.0,0.0,1.6657993895739868e-16,0.0,0.0,0.015,0.02,"[0.0000, 0.0000]"
synthetic,MAR,block,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-205.21718961916972,-230.0435940400021,34.357069448168616,-244.32029058997904,-156.0859171440581,1.0,0.0,"[-244.3203, -156.0859]"
synthetic,MAR,block,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-205.2037031039897,-230.0300018980015,34.35644414217237,-244.30658521127643,-156.07358629407753,1.0,0.0,"[-244.3066, -156.0736]"
synthetic,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.0562490943323186,0.0565278590403938,0.0057113040837544,0.0449908423974354,0.0667694020848327,0.0,1.0,"[0.0450, 0.0668]"
synthetic,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.0384137607742123,-0.0382988477582149,0.0027492850715338,-0.043755740247666,-0.0333411344590981,1.0,0.0,"[-0.0438, -0.0333]"
synthetic,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.0545695255659499,0.0539476767245327,0.0060134312984748,0.0437735086432449,0.0670496660982569,0.0,1.0,"[0.0438, 0.0670]"
synthetic,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.0504472959469502,-0.0505320191920734,0.0034539179376194,-0.0572833234258947,-0.044115456499481,1.0,0.0,"[-0.0573, -0.0441]"
synthetic,MAR,random,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-239.9810922367701,-269.0569830689965,38.32806483556519,-282.5281168214088,-183.68579783190447,1.0,0.0,"[-282.5281, -183.6858]"
synthetic,MAR,random,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-239.14551983093523,-268.3362370354989,38.28012311345046,-281.78411609239373,-183.0325047091002,1.0,0.0,"[-281.7841, -183.0325]"
synthetic,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.1444540236136692,0.1437374336202712,0.0091115059525328,0.1283795977020171,0.1620213463930129,0.0,1.0,"[0.1284, 0.1620]"
synthetic,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.0500170971984745,-0.0498031106730881,0.0038466698481793,-0.0586371190681435,-0.0437261653944748,1.0,0.0,"[-0.0586, -0.0437]"
synthetic,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.1593784902296169,0.1585326972692731,0.0118247820113884,0.1371820538388568,0.183253820334893,0.0,1.0,"[0.1372, 0.1833]"
synthetic,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.0659852934271794,-0.0655413585951725,0.0050294377523293,-0.0774275326226048,-0.0568997542162321,1.0,0.0,"[-0.0774, -0.0569]"
synthetic,MAR,random,0.3,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-189.52450351972468,-212.0197590655007,31.5517186259752,-225.45587935485128,-144.71471605089627,1.0,0.0,"[-225.4559, -144.7147]"
synthetic,MAR,random,0.3,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-186.96649972891996,-208.5190145805027,31.33971516607944,-223.14652487074815,-141.64282096709377,1.0,0.0,"[-223.1465, -141.6428]"
synthetic,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.2236998120420788,0.2232853509733323,0.0144661032341927,0.1971702436136153,0.2513219184925857,0.0,1.0,"[0.1972, 0.2513]"
synthetic,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.0341850957479368,-0.0335244506581414,0.0084564366864408,-0.0512885998048968,-0.0194459408650986,1.0,0.0,"[-0.0513, -0.0194]"
synthetic,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.2556379119494348,0.2549184542040114,0.02000261434232,0.2181598133242239,0.2945939715348291,0.0,1.0,"[0.2182, 0.2946]"
synthetic,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.0474772703937348,-0.0466208064143155,0.0114468220143295,-0.0709128233718634,-0.0270316861720669,1.0,0.0,"[-0.0709, -0.0270]"
synthetic,MAR,random,0.5,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-138.4891103600698,-155.88624569949752,22.487822683510213,-163.8459354118786,-106.85258012342784,1.0,0.0,"[-163.8459, -106.8526]"
synthetic,MAR,random,0.5,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-137.84656225081014,-155.19069941700218,22.447388987216875,-163.10524343740616,-106.24325031012576,1.0,0.0,"[-163.1052, -106.2433]"
synthetic,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,0.1422445768322247,0.1413141010782664,0.0219857426536399,0.1017115216740963,0.1837463550162925,0.0,1.0,"[0.1017, 0.1837]"
synthetic,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-0.0596269019681697,-0.0537513431751104,0.0221130262740762,-0.1180601453979865,-0.0321307341494869,1.0,0.0,"[-0.1181, -0.0321]"
synthetic,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,0.151761747948377,0.1507593444749919,0.0270804173175634,0.1052299363082986,0.2085979491500613,0.0,1.0,"[0.1052, 0.2086]"
synthetic,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,rmse,200,-0.0783612960510833,-0.0710597522608846,0.028235064343766,-0.1566936662667346,-0.0450346265758931,1.0,0.0,"[-0.1567, -0.0450]"
synthetic,MCAR,block,0.1,5,1000x50,mean_pca,vbpca_vb_modern,wall_time_sec,200,-240.07457546886,-265.8132723500021,37.36837040466043,-281.03337643582364,-184.68050389572028,1.0,0.0,"[-281.0334, -184.6805]"
synthetic,MCAR,block,0.1,5,1000x50,mice_pca,vbpca_vb_modern,wall_time_sec,200,-239.86551118463964,-265.35232196200013,37.3624408753052,-280.7771069742236,-184.43852045847115,1.0,0.0,"[-280.7771, -184.4385]"
synthetic,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,mae,200,-1.3322676295501878e-17,0.0,1.935995953272571e-16,-4.440892098500626e-16,4.440892098500626e-16,0.045,0.03,"[-0.0000, 0.0000]"
synthetic,MCAR,block,0.3,5,1000x50,mice_pca,vbpca_vb_modern,mae,200,-1.3322676295501878e-17,0.0,1.935995953272571e-16,-4.440892098500626e-16,4.440892098500626e-16,0.045,0.03,"[-0.0000, 0.0000]"
synthetic,MCAR,block,0.3,5,1000x50,mean_pca,vbpca_vb_modern,rmse,200,-6.661338147750939e-18,0.0,1.133084742444305e-16,0.0,0.0,0.015,0.005,"[0.0000, 0.0000]"
