dataset,mechanism,pattern,missing_rate,n_components_requested,method,n_reps,rmse_mean,rmse_median,rmse_std,rmse_ci_low,rmse_ci_high,mae_mean,mae_median,mae_std,mae_ci_low,mae_ci_high,wall_time_sec_mean,wall_time_sec_median,wall_time_sec_std,wall_time_sec_ci_low,wall_time_sec_ci_high,vbpca_mean_variance_mean,rmse_ci,mae_ci,time_ci
diabetes,MCAR,random,0.1,5,mice_pca,200,0.709057510089166,0.7063393879750721,0.0319815207573071,0.6572437808122502,0.7705041636685613,0.510283349654436,0.5097929291049581,0.0236587478138375,0.4669384400203713,0.5515013804169601,0.3223652558099275,0.3250570255004276,0.0880739686978091,0.1116956633715744,0.4840722115275639,,"[0.6572, 0.7705]","[0.4669, 0.5515]","[0.1117, 0.4841]"
diabetes,MCAR,random,0.1,5,vbpca_vb_modern,200,0.7566770317753323,0.7553340882337837,0.03114163822434,0.7016650045160012,0.8129971175194103,0.5704590839348265,0.5709303515905013,0.0238937258743247,0.5192879626909489,0.6125140304401896,25.63024474822021,28.74533555300513,4.6828300419645466,16.151295598325852,31.11884057107363,0.1434431383402387,"[0.7017, 0.8130]","[0.5193, 0.6125]","[16.1513, 31.1188]"
diabetes,MCAR,random,0.3,5,mean_pca,200,0.8770828998900615,0.877064690721903,0.0222622699164133,0.8368971101185312,0.9238410925174018,0.6996148322311805,0.6997631228366237,0.0173353789974614,0.667924059282248,0.7363257211513958,0.0015397051702165,0.0015469425015907,4.806652915778207e-05,0.0014285621729868,0.0016258636282145,,"[0.8369, 0.9238]","[0.6679, 0.7363]","[0.0014, 0.0016]"
diabetes,MCAR,random,0.3,5,mice_pca,200,0.8413392941967058,0.8417833242952205,0.0476904063610244,0.760242042367252,0.9354811393606508,0.606385032440335,0.6071633096726614,0.0273026509741293,0.5553258482470089,0.6529563930109104,0.4553381179549615,0.4609983824993832,0.0651297915926995,0.3275487814749794,0.5411677632007923,,"[0.7602, 0.9355]","[0.5553, 0.6530]","[0.3275, 0.5412]"
diabetes,MCAR,random,0.3,5,vbpca_vb_modern,200,0.7981167713421137,0.7965694669838981,0.0190776793624632,0.765122388219754,0.8384531484839722,0.6107286901667973,0.6103700141017645,0.0145035075637573,0.5834155408930892,0.6383430101308987,21.05363114806016,23.710432836498512,3.5525944688614715,15.969891791453664,25.110229961381265,0.1969482330916817,"[0.7651, 0.8385]","[0.5834, 0.6383]","[15.9699, 25.1102]"
diabetes,MCAR,random,0.5,5,mean_pca,200,0.922891533064454,0.9209606875970804,0.021406764490539,0.8828886211607252,0.9624680715081636,0.7424080473071119,0.7412839132466942,0.0160476405694222,0.7115291673533733,0.7725482909224745,0.0015650893499695,0.0015717780006525,6.153403450884859e-05,0.0014241243496143,0.001657087571948,,"[0.8829, 0.9625]","[0.7115, 0.7725]","[0.0014, 0.0017]"
diabetes,MCAR,random,0.5,5,mice_pca,200,0.8875212197714112,0.8875768761132872,0.0245716179628822,0.8394316859992955,0.937803697335488,0.6779042122789839,0.678112268861288,0.0173790486215439,0.6471535532653808,0.7124513249903607,0.1303301026095868,0.0594660579990886,0.1166927971777066,0.0388312360990311,0.3877153515439204,,"[0.8394, 0.9378]","[0.6472, 0.7125]","[0.0388, 0.3877]"
diabetes,MCAR,random,0.5,5,vbpca_vb_modern,200,0.8398906045336904,0.8402506966172779,0.0188692776186301,0.8079561539724571,0.8818656690287573,0.6541775372915174,0.6539411223223972,0.0136964614601503,0.6280049188546721,0.6806219363495213,16.517764142695015,18.751612336000107,2.9291423279214843,12.530270802522317,19.85892293247544,0.2839122571331449,"[0.8080, 0.8819]","[0.6280, 0.6806]","[12.5303, 19.8589]"
synthetic,MAR,block,0.1,5,mean_pca,200,0.6151827120019361,0.6119186065428185,0.0361474372491133,0.5492609225938624,0.680404434481096,0.4834007230950272,0.4796792029696269,0.0275845863564692,0.4325128567594462,0.5351271100235143,0.0028639776953058,0.0029081129978294,0.0001437732686707,0.0026197357001364,0.0030919729773813,,"[0.5493, 0.6804]","[0.4325, 0.5351]","[0.0026, 0.0031]"
synthetic,MAR,block,0.1,5,mice_pca,200,0.3682520666804086,0.3676963702178137,0.0484036436155785,0.2771010041310338,0.4632441234875664,0.2678737679687601,0.2680654657827088,0.0355514628360071,0.2002220160289951,0.3359327990830619,0.1188948945153606,0.1239818805006507,0.0140407785841147,0.0866073918978145,0.1552901748795193,,"[0.2771, 0.4632]","[0.2002, 0.3359]","[0.0866, 0.1553]"
synthetic,MAR,block,0.1,5,vbpca_vb_modern,200,0.4493244248838008,0.4483289717330376,0.0563633719225523,0.3491476789594859,0.5505745256904091,0.3300429374389965,0.3276861853891307,0.0430531186857592,0.2523601450436036,0.4091994025714661,239.7613013360453,268.310825074499,37.69726733746897,183.50927625797704,282.3157048590268,0.0219067313317157,"[0.3491, 0.5506]","[0.2524, 0.4092]","[183.5093, 282.3157]"
synthetic,MAR,block,0.3,5,mean_pca,200,3.993488599467775,3.9429737026284095,0.5096505329685922,3.1307556068636173,4.942318361199323,3.112714642041181,3.067737638854697,0.395692803003936,2.462400124628378,3.911365033849149,0.0027677090952783,0.0028030925022903,0.0001599802034469,0.002460427902406,0.0030075576489252,,"[3.1308, 4.9423]","[2.4624, 3.9114]","[0.0025, 0.0030]"
